'Erecoil (keV) for aH=0.035'    'ER yield width for aH=0.035'    'Erecoil (keV) for aH=0.02'    'ER yield width for aH=0.02'
13.6688                         0.15015                          13.3                           0.150176
13.8758                         0.148032                         13.5434                        0.14797
14.1016                         0.145915                         13.7869                        0.145765
14.3443                         0.143799                         14.0303                        0.143559
14.587                          0.141683                         14.2738                        0.141354
14.8297                         0.139567                         14.5172                        0.139148
15.0824                         0.137451                         14.7607                        0.136943
15.3576                         0.135337                         15.005                         0.134737
15.6328                         0.133223                         15.2859                        0.132534
15.908                          0.13111                          15.5668                        0.130331
16.203                          0.129183                         15.8477                        0.128128
16.511                          0.127342                         16.1438                        0.125926
16.8204                         0.125446                         16.4646                        0.123725
17.134                          0.1235                           16.7854                        0.121525
17.4546                         0.121509                         17.11                          0.119386
17.7852                         0.119475                         17.4523                        0.117475
18.1285                         0.117404                         17.7982                        0.115508
18.4875                         0.115299                         18.151                         0.113491
18.8649                         0.113165                         18.5138                        0.111426
19.2636                         0.111006                         18.8898                        0.10932
19.6864                         0.108825                         19.2821                        0.107175
20.1362                         0.106627                         19.6939                        0.104997
20.6158                         0.104417                         20.1283                        0.102789
21.1281                         0.102197                         20.5884                        0.100556
21.676                          0.099973                         21.0774                        0.0983024
22.2622                         0.0977482                        21.5985                        0.0960326
22.8896                         0.095527                         22.1548                        0.0937509
23.561                          0.0933134                        22.7494                        0.0914615
24.2794                         0.0911116                        23.3855                        0.0891689
25.0475                         0.0889258                        24.0663                        0.0868773
25.8682                         0.08676                          24.7948                        0.0845912
26.7443                         0.0846183                        25.5743                        0.0823148
27.6787                         0.0825049                        26.4078                        0.0800526
28.6742                         0.080424                         27.2986                        0.0778088
29.7337                         0.0783795                        28.2497                        0.0755879
30.8601                         0.0763758                        29.2644                        0.0733941
32.056                          0.0744168                        30.3457                        0.0712318
33.3245                         0.0725066                        31.4969                        0.0691053
34.6683                         0.0706496                        32.721                         0.0670191
36.0904                         0.0688496                        34.0212                        0.0649774
37.5934                         0.067111                         35.4007                        0.0629846
39.1804                         0.0654377                        36.8626                        0.061045
40.854                          0.0638339                        38.41                          0.059163
42.6173                         0.0623038                        40.0461                        0.057343
44.473                          0.0608514                        41.7741                        0.0555892
46.4239                         0.059481                         43.5971                        0.0539061
48.65                           0.0581737                        45.5182                        0.052298
50.9681                         0.0568815                        47.5405                        0.0507692
53.3753                         0.0557069                        49.6674                        0.049324
55.8683                         0.0546267                        51.9018                        0.0479669
58.4384                         0.0536357                        54.2469                        0.0467021
61.0765                         0.052729                         56.7065                        0.0454465
63.7737                         0.0519014                        59.2875                        0.0442665
66.5213                         0.0511479                        61.9622                        0.0432037
69.3102                         0.0504635                        64.6901                        0.0422263
72.1315                         0.0498429                        67.4663                        0.0413288
74.9764                         0.0492813                        70.2858                        0.0405058
77.836                          0.0487734                        73.1435                        0.039752
80.7013                         0.0483143                        76.0345                        0.039062
83.5635                         0.0478989                        78.9538                        0.0384305
86.4136                         0.0475221                        81.8963                        0.037852
89.2463                         0.0471659                        84.8572                        0.0373213
92.1351                         0.0468653                        87.8314                        0.0368328
95.0086                         0.0465399                        90.8138                        0.0363813
97.8965                         0.0462914                        93.7996                        0.0359614
100.789                         0.0460562                        96.7949                        0.035591
103.685                         0.0458338                        99.7841                        0.0352723
106.586                         0.0456237                        102.768                        0.0349655
109.49                          0.0454255                        105.761                        0.0346757
112.398                         0.0452389                        108.762                        0.0344023
115.308                         0.0450633                        111.772                        0.0341446
118.222                         0.0448983                        114.789                        0.0339022
121.139                         0.0447435                        117.813                        0.0336743
124.058                         0.0445985                        120.844                        0.0334603
126.979                         0.0444628                        123.88                         0.0332597
129.902                         0.044336                         126.922                        0.0330719
132.826                         0.0442176                        129.968                        0.0328962
135.752                         0.0441072                        133.018                        0.0327321
138.68                          0.0440044                        136.071                        0.0325789
141.608                         0.0439087                        139.128                        0.0324361
144.537                         0.0438197                        142.186                        0.0323029
147.466                         0.043737                         145.247                        0.0321789
150.395                         0.0436602                        148.308                        0.0320634
153.325                         0.0435887                        151.37                         0.0319559
156.254                         0.0435222                        154.431                        0.0318556
159.182                         0.0434602                        157.492                        0.031762
162.109                         0.0434023                        160.552                        0.0316746
165.036                         0.043348                         163.61                         0.0315926
167.961                         0.043297                         166.665                        0.0315155
170.884                         0.0432488                        169.717                        0.0314427
173.806                         0.0432029                        172.766                        0.0313736
176.726                         0.0431589                        175.811                        0.0313075
179.643                         0.0431163                        178.85                         0.0312439
182.557                         0.0430749                        181.884                        0.0311822
185.469                         0.043034                         184.913                        0.0311217
188.378                         0.0429933                        187.934                        0.0310619
191.283                         0.0429523                        190.949                        0.0310022
194.185                         0.0428976                        193.955                        0.0309418
197.101                         0.0428293                        196.978                        0.0308387
200.023                         0.0428293                        200.023                        0.0308387
