'Erecoil (keV)'    '68.75 keV inelastic'    'Erecoil (keV)'    'Erecoil (keV)'    'NR average'    'Erecoil (keV)'    '13.26 keV inelastic'    'Erecoil (keV)'    'threshold'    'Erecoil (keV)'    'NR low band'    'Erecoil (keV)'    'NR high band'    'Erecoil (keV)'
69.4986            0.991839                 1.02904            0.159922           14.2519         0.944224           2.1035                   1.49896            11.0197        -0.00202794        1.89725          1.50072            9.99176           1.5073
69.8626            0.987244                 1.31515            0.167136           14.3933         0.936084           2.11548                  1.48548            11.3235        0.00508184         1.92804          1.4886             10.3977           1.48881
70.2266            0.982648                 1.60126            0.174349           14.5347         0.927944           2.12746                  1.472              11.6309        0.0121827          1.95883          1.47648            10.7845           1.4703
70.5907            0.978053                 2.0573             0.181087           14.6761         0.919803           2.13943                  1.45851            11.9934        0.0191483          1.98962          1.46436            11.3552           1.44694
70.9944            0.973552                 2.45114            0.18775            14.8725         0.911724           2.15141                  1.44503            12.3254        0.0261916          2.02041          1.45224            12.0167           1.42316
71.4141            0.96911                  2.89932            0.193344           15.0765         0.903653           2.16339                  1.43155            12.6585        0.0332293          2.0512           1.44013            12.7205           1.40053
71.8389            0.964704                 3.39607            0.198764           15.2806         0.895582           2.17537                  1.41807            13.115         0.0399434          2.05803          1.42801            13.4695           1.37901
72.2689            0.960332                 3.93956            0.204011           15.4417         0.887461           2.18735                  1.40458            13.5195        0.0471839          2.05803          1.41589            14.2665           1.35857
72.7039            0.955996                 4.52794            0.209091           15.6025         0.879339           2.19933                  1.3911             13.9395        0.05427            2.07589          1.40377            15.1144           1.33918
73.1439            0.951694                 5.15937            0.214006           15.772          0.871354           2.22817                  1.37762            14.3757        0.0612048          2.09671          1.39165            16.016            1.32079
73.5888            0.947427                 5.83199            0.21876            15.9698         0.863711           2.26536                  1.36414            14.8287        0.0679911          2.11753          1.37953            16.9742           1.30339
