'Erecoil (keV)'    'Yield'
104.192            1.15056
120.34             1.0184
127.975            0.988728
22.3243            0.400158
111.507            1.02559
38.9535            0.376834
78.1686            0.825746
83.1639            0.978083
22.4839            0.234
118.7              0.8606
36.1559            0.324997
113.146            1.02242
143.845            0.953742
49.8267            0.312332
96.236             0.985577
155.876            1.05756
25.4024            0.230836
45.1108            0.973753
116.383            0.97375
42.912             0.265677
23.8046            0.301674
55.7035            0.993919
105.189            0.969727
19.846             0.168356
188.215            1.02473
29.2411            0.202321
10.7325            0.913584
63.3379            0.307139
26.6021            0.224488
84.3248            1.02674
45.7096            0.358977
115.504            1.03307
196.73             1.20874
19.0865            0.27634
84.642             0.871259
166.031            0.99507
183.66             1.03209
47.0291            0.394968
34.517             0.365316
36.4353            0.993915
17.3289            0.29116
10.4331            0.400151
35.8365            0.352647
182.339            0.951584
102.112            0.442494
199.808            0.996082
147.801            1.02041
155.437            1.06907
44.8303            0.312328
15.129             0.208666
198.929            1.01407
59.661             0.284838
18.6473            0.18965
31.1594            0.279491
125.037            0.992909
14.4105            0.224492
154.997            0.997084
25.1229            0.321834
159.434            1.02473
133.692            0.481635
60.9805            1.05755
171.906            0.93144
131.934            0.784283
17.9277            0.302826
15.4095            0.248846
97.1153            1.01927
26.0023            0.275188
195.132            0.969727
118.861            0.920925
119.462            1.01839
22.7644            0.223349
14.2497            0.301673
149.001            0.969731
26.2828            0.28799
25.5632            0.422325
87.281             0.309168
33.7974            0.311169
188.215            1.0279
171.187            1.03423
60.7               0.966554
26.2828            0.285836
115.504            1.03422
17.9277            0.228813
25.7228            0.56212
159.114            0.91776
24.8435            0.32182
194.253            0.479626
183.381            1.05323
59.9404            0.38231
19.6863            0.366323
59.661             1.02675
8.21321            0.724108
98.2951            0.983252
13.53              0.304837
16.8887            0.249836
21.6046            0.235158
119.6              0.990754
40.273             0.293332
53.6244            1.02358
159.275            0.793778
32.7584            0.198
26.8816            0.422332
16.1691            0.334497
151.04             1.04373
37.614             0.325012
102.112            0.984419
36.7158            0.346308
68.0149            0.340833
37.7548            0.883919
11.013             0.339971
40.5535            0.333639
17.0483            0.2435
40.8329            1.00456
18.5276            0.222486
169.548            1.01407
13.2107            1.05323
43.931             0.897744
76.848             0.443622
46.4303            0.280658
64.2172            1.12522
22.4839            0.258482
74.77              0.986422
18.3679            0.253012
49.5073            0.298502
51.5853            0.337675
43.4919            0.963391
112.706            1.05122
85.0822            0.370491
127.697            0.988729
175.424            1.03209
15.2887            0.262507
20.5656            0.165176
11.4521            1.25741
20.7253            0.27317
22.0459            0.238327
7.33498            1.04574
161.193            1.00026
7.33497            0.654133
86.4017            0.868959
125.776            1.04171
23.2036            0.287994
168.229            1.00342
173.965            1.0659
144.724            1.00341
25.123             0.441486
20.845             0.260496
81.8455            0.915601
23.2036            0.332481
13.3704            0.355808
102.992            1.10507
95.9565            0.340837
161.034            1.0256
48.3475            0.940936
173.226            0.997059
24.9621            0.315492
32.6176            0.264808
95.9565            1.01609
189.696            0.942076
119.741            0.998229
88.6005            0.904933
37.0351            0.257334
164.551            0.999245
157.955            0.991911
54.6635            0.275192
179.843            1.04804
152.958            0.773927
196.61             1.05525
25.2826            0.285832
114.303            0.990746
28.0813            0.238323
106.509            0.346308
26.8816            0.351495
198.929            1.01926
12.3314            0.265684
69.2136            1.04172
29.5195            0.242359
109.747            1.05756
182.18             1.17505
196.29             1.04489
34.3972            0.253012
153.997            0.967426
19.5255            0.184191
135.171            1.00457
20.7253            1.06476
47.9074            1.02875
61.5793            0.956914
29.6802            1.10075
23.6438            0.28799
28.5215            0.319808
19.4069            0.853104
18.2071            0.36948
144.724            1.01522
57.4622            0.923084
17.2081            0.27317
13.9703            0.311172
95.5163            0.365327
135.171            1.02875
38.4934            0.306003
23.6438            1.00457
25.8426            0.317507
10.4331            0.91242
135.611            1.04173
35.1169            0.277475
59.8007            0.301674
193.053            1.00139
137.09             1.05842
50.1061            1.0184
192.174            1.00024
121.939            0.902932
16.1691            0.241489
17.4875            0.219318
69.7736            1.03423
57.5808            0.320678
120.34             1.01725
17.7681            0.207511
124.139            1.02991
177.183            0.934607
3.21784            1.50201
38.3546            0.315493
46.1498            1.04372
135.171            1.04258
40.9926            0.990746
25.4024            0.16403
122.38             1.0204
21.0058            0.216151
32.6176            0.456304
67.7344            0.334493
115.623            0.858575
158.555            1.03943
80.9662            0.343137
60.9804            1.03106
26.4424            0.686958
155.317            0.969735
147.962            1.01206
41.4328            1.02992
38.6341            0.293328
29.0804            0.25532
49.9475            1.08606
100.353            1.01839
14.0911            0.849934
143.246            0.981239
23.9642            0.248835
183.938            1.02156
37.0352            1.20039
14.2497            0.349473
17.2081            0.222489
28.2011            0.239187
29.8399            0.269994
115.183            1.00889
194.253            1.04691
141.347            0.656436
133.413            1.02558
184.839            1.02473
51.7062            0.300804
30.7203            0.269984
30.5596            0.285829
189.975            1.03625
28.8009            0.297643
34.2365            0.938915
37.3146            0.302826
18.807             0.264808
112.544            0.730446
13.8106            0.298506
76.1095            0.327156
199.689            1.04805
34.9561            0.294472
24.0829            0.430967
31.7183            0.354665
87.8809            1.00572
15.5692            0.276333
135.611            1.04576
189.975            1.0256
141.206            0.929415
29.5194            0.254166
185.857            1.02242
