'Erecoil (keV) for C=0.04'    'ER yield width for C=0.04'    'Erecoil (keV) for C=0'    'ER yield width for C=0'
12.0146                       0.0999891                      10.8635                    0.0998812
12.2271                       0.0987035                      11.0424                    0.0983667
12.4396                       0.0974179                      11.2351                    0.096853
12.6521                       0.0961322                      11.4278                    0.0953393
12.8646                       0.0948466                      11.6205                    0.0938256
13.0905                       0.0935621                      11.8132                    0.0923118
13.344                        0.0922798                      12.0059                    0.0907981
13.5976                       0.0909975                      12.2313                    0.0892864
13.8511                       0.0897151                      12.4583                    0.0877748
14.1661                       0.0882791                      12.6853                    0.0862632
14.5681                       0.0866516                      12.9123                    0.0847516
14.972                        0.0850601                      13.1439                    0.0833628
15.3796                       0.0835044                      13.3835                    0.0820362
15.7929                       0.0819841                      13.6302                    0.0806774
16.2136                       0.0804991                      13.8855                    0.0792886
16.6436                       0.079049                       14.1512                    0.0778721
17.0848                       0.0776337                      14.4287                    0.0764303
17.5391                       0.0762528                      14.7196                    0.0749654
18.0082                       0.0749062                      15.0255                    0.0734796
18.4942                       0.0735935                      15.3481                    0.0719753
18.9987                       0.0723145                      15.6888                    0.0704547
19.5238                       0.0710689                      16.0494                    0.0689202
20.0711                       0.0698566                      16.4312                    0.067374
20.6427                       0.0686772                      16.8361                    0.0658184
21.2404                       0.0675305                      17.2654                    0.0642556
21.866                        0.0664163                      17.7208                    0.0626881
22.5213                       0.0653342                      18.204                     0.0611179
23.2083                       0.0642841                      18.7164                    0.0595476
23.9288                       0.0632656                      19.2596                    0.0579792
24.6847                       0.0622785                      19.8354                    0.0564151
25.4778                       0.0613227                      20.4451                    0.0548576
26.31                         0.0603977                      21.0904                    0.053309
27.1831                       0.0595034                      21.773                     0.0517715
28.099                        0.0586395                      22.4943                    0.0502475
29.0596                       0.0578058                      23.2559                    0.0487391
30.0666                       0.0570019                      24.0595                    0.0472488
31.1221                       0.0562277                      24.9066                    0.0457788
32.2278                       0.0554829                      25.7989                    0.0443313
33.3857                       0.0547672                      26.7378                    0.0429087
34.5974                       0.0540805                      27.725                     0.0415132
35.865                        0.0534223                      28.7621                    0.0401471
37.1903                       0.0527925                      29.8506                    0.0388128
38.5751                       0.0521909                      30.9921                    0.0375124
40.0213                       0.0516171                      32.1882                    0.0362483
41.5308                       0.0510709                      33.4405                    0.0350227
43.1054                       0.0505521                      34.7506                    0.033838
44.7469                       0.0500604                      36.1201                    0.0326964
46.4573                       0.0495955                      37.5505                    0.0316002
48.2384                       0.0491572                      39.0434                    0.0305517
50.0921                       0.0487453                      40.6005                    0.0295531
52.0202                       0.0483595                      42.2232                    0.0286069
54.0245                       0.0479995                      43.9371                    0.0276664
56.107                        0.0476651                      45.7157                    0.0267209
58.2695                       0.047356                       47.575                     0.0258524
60.5138                       0.047072                       49.4854                    0.0250332
62.8419                       0.0468128                      51.4427                    0.0242615
65.2555                       0.0465782                      53.4428                    0.0235356
67.7566                       0.0463679                      55.4816                    0.0228539
70.347                        0.0461817                      57.555                     0.0222147
72.4387                       0.0460072                      59.6586                    0.0216163
74.3653                       0.045894                       61.7885                    0.021057
76.29                         0.0457797                      63.9404                    0.0205352
78.2168                       0.0456713                      66.1102                    0.0200491
80.1457                       0.0455686                      68.2937                    0.019597
82.0763                       0.0454714                      70.4869                    0.0191773
84.0088                       0.0453795                      72.6854                    0.0187884
85.9429                       0.0452928                      74.8853                    0.0184284
87.8785                       0.0452111                      77.0896                    0.0180747
89.8156                       0.0451342                      79.3159                    0.0177679
91.7539                       0.0450619                      81.5258                    0.0174768
93.6934                       0.0449941                      83.7449                    0.0172009
95.634                        0.0449305                      85.9727                    0.01694
97.5756                       0.0448711                      88.2086                    0.0166934
99.518                        0.0448155                      90.4521                    0.0164606
101.461                       0.0447637                      92.7025                    0.0162412
103.405                       0.0447155                      94.9594                    0.0160346
105.349                       0.0446706                      97.2221                    0.0158403
107.294                       0.044629                       99.4901                    0.0156579
109.239                       0.0445903                      101.763                    0.0154869
111.184                       0.0445546                      104.04                     0.0153266
113.129                       0.0445215                      106.32                     0.0151768
115.074                       0.0444909                      108.603                    0.0150367
117.018                       0.0444627                      110.889                    0.014906
118.963                       0.0444365                      113.177                    0.0147841
120.907                       0.0444124                      115.466                    0.0146705
122.851                       0.0443901                      117.756                    0.0145647
124.793                       0.0443693                      120.046                    0.0144663
126.735                       0.04435                        122.335                    0.0143747
128.677                       0.044332                       124.624                    0.0142894
130.617                       0.044315                       126.911                    0.0142099
132.556                       0.044299                       129.196                    0.0141358
134.494                       0.0442837                      131.478                    0.0140664
136.431                       0.0442689                      133.757                    0.0140014
138.366                       0.0442545                      136.032                    0.0139402
140.299                       0.0442403                      138.303                    0.0138823
142.231                       0.0442262                      140.569                    0.0138271
144.162                       0.044203                       142.829                    0.0137743
146.099                       0.0441538                      145.083                    0.0137233
148.039                       0.0441481                      147.334                    0.0136636
149.98                        0.0441424                      149.611                    0.0136247
