x,Curve1,curve2,curve3,curve4
1.667,-6.44581,-0.08957,1.493,-0.64478
1.802,-6.06069,-0.08789,1.44296,-0.62392
1.804,-6.05415,-0.08786,1.46798,-0.62356
1.938,-5.68168,-0.08613,1.41795,-0.60321
2.075,-5.31531,-0.0843,1.39293,-0.58303
2.212,-4.96139,-0.0824,1.36791,-0.56335
2.883,-3.39678,-0.07177,1.11174,-0.47381
3.158,-2.83384,-0.06656,1.10052,-0.44031
3.295,-2.5711,-0.06372,1.06171,-0.42438
4.518,-0.66571,-0.01776,0.7555,-0.30031
4.726,-0.4146,0.002,0.72402,-0.28225
5.006,-0.10694,0.02702,0.724,-0.25922
5.071,-0.04024,0.0312,0.73049,-0.25407
5.425,0.29163,0.05203,0.70356,-0.22737
5.485,0.34283,0.05615,0.69847,-0.22307
5.706,0.51951,0.07705,0.68497,-0.20773
5.847,0.62337,0.10207,0.67885,-0.19831
5.988,0.72014,0.12708,0.67431,-0.18918
6.039,0.75313,0.13204,0.67345,-0.18599
6.268,0.89205,0.1521,0.66514,-0.17196
6.41,0.96907,0.17712,0.65831,-0.16369
6.551,1.03994,0.20213,0.65145,-0.1557
6.592,1.05959,0.20598,0.64943,-0.15341
6.831,1.16318,0.22615,0.63783,-0.14062
6.973,1.21707,0.25117,0.63098,-0.07465
7.253,1.30872,0.27618,0.61748,-0.06214
7.533,1.38161,0.30637,0.60409,-0.0536
7.813,1.43757,0.32622,0.59085,-0.04669
9.637,1.50159,0.44886,0.51234,-0.01502
10.145,1.48899,0.48104,0.49862,-0.00777
10.702,1.47517,0.51465,0.49693,2.83964e-10
11.116,1.46498,0.53761,0.49779,0.00576
11.169,1.46367,0.54036,0.49768,0.0065
11.443,1.4565,0.55332,0.49633,0.01037
11.808,1.44096,0.56608,0.49292,0.01564
12.233,1.41098,0.5649,0.48778,0.02201
12.283,1.4084,0.56438,0.48712,0.02279
12.499,1.39993,0.58611,0.48421,0.02622
12.843,1.39195,0.61141,0.47941,0.03184
13.625,1.38076,0.62689,0.46822,0.04503
13.887,1.37692,0.62942,0.4645,0.04945
14.235,1.36991,0.63342,0.45968,0.05526
14.858,1.3529,0.64657,0.45159,0.06547
15.017,1.34902,0.65088,0.44967,0.06805
15.489,1.3388,0.66344,0.44447,0.07543
15.607,1.33637,0.66616,0.4433,0.07715
15.967,1.32889,0.6733,0.44013,0.082
16.687,1.31321,0.68549,0.43549,0.09006
16.742,1.3121,0.68646,0.43522,0.09061
17.077,1.30587,0.69275,0.43385,0.09381
17.995,1.29185,0.70947,0.43223,0.10223
18.525,1.28406,0.71744,0.43229,0.10792
18.604,1.28286,0.71858,0.43118,0.11521
18.634,1.28238,0.71901,0.43037,0.11564
19.526,1.26843,0.73249,0.42489,0.12278
19.944,1.26299,0.74149,0.42354,0.12544
20.131,1.26084,0.74324,0.42301,0.12659
20.721,1.25482,0.74835,0.42154,0.13009
21.304,1.2494,0.75338,0.42028,0.13342
22.03,1.2427,0.76051,0.4189,0.13748
22.214,1.24083,0.76326,0.41857,0.13849
22.587,1.23489,0.77151,0.41792,0.14054
22.908,1.23082,0.77416,0.41739,0.14229
25.09,1.21213,0.78853,0.41408,0.15397
25.13,1.21181,0.78879,0.41403,0.15418
26.102,1.2038,0.79569,0.41268,0.15929
27.455,1.19423,0.80554,0.41091,0.16632
28.602,1.18679,0.81286,0.40947,0.17223
30.236,1.17743,0.82155,0.40752,0.18055
31.797,1.16978,0.82812,0.40575,0.18838
33.156,1.1641,0.83356,0.40429,0.19507
33.792,1.16167,0.83634,0.40364,0.19813
34.854,1.15777,0.84121,0.40259,0.20308
35.201,1.15651,0.84279,0.40227,0.20462
36.076,1.15332,0.84656,0.4015,0.20811
36.711,1.15102,0.84906,0.40102,0.20714
37.91,1.14676,0.85336,0.40051,0.20798
37.962,1.14658,0.85354,0.40052,0.20814
38.397,1.14508,0.85503,0.40141,0.20997
39.134,1.14257,0.85757,0.40426,0.21255
39.37,1.14178,0.8584,0.40427,0.21331
40.604,1.13776,0.86271,0.40381,0.21714
41.245,1.13576,0.86481,0.40355,0.21907
42.193,1.13295,0.86758,0.4033,0.22187
42.567,1.13191,0.86855,0.40327,0.22296
44.302,1.12775,0.87247,0.40368,0.22795
45.39,1.1257,0.87458,0.40412,0.23102
45.903,1.12481,0.87543,0.40427,0.23245
46.641,1.12354,0.87658,0.40415,0.2345
47.637,1.12175,0.8784,0.40402,0.23721
49.377,1.11819,0.88156,0.40427,0.2418
49.978,1.11684,0.88259,0.40442,0.24332
50.833,1.11474,0.88396,0.40466,0.24539
51.169,1.11382,0.88448,0.40476,0.24616
52.5,1.11074,0.8865,0.4052,0.24876
53.175,1.10992,0.88759,0.40543,0.24946
54.227,1.10891,0.88941,0.40581,0.24817
55.697,1.10774,0.89178,0.40638,0.24996
56.511,1.10715,0.8926,0.40672,0.25156
57.285,1.10656,0.89188,0.40705,0.25317
58.04,1.10589,0.89159,0.40739,0.25465
59.032,1.10474,0.89358,0.40787,0.25632
59.802,1.10359,0.89543,0.40827,0.25743
60.344,1.10271,0.89672,0.40859,0.25817
61.237,1.10126,0.8986,0.40921,0.25936
62.367,1.09973,0.90021,0.41051,0.26083
63.138,1.0991,0.90086,0.41227,0.26183
64.295,1.09854,0.9016,0.41443,0.26331
65.564,1.09773,0.90269,0.41589,0.26492
65.765,1.09755,0.90288,0.41604,0.26518
66.335,1.09696,0.90343,0.41628,0.2659
67.631,1.0954,0.9046,0.41592,0.26756
68.823,1.09386,0.90552,0.41524,0.26918
69.531,1.09297,0.90599,0.41528,0.27021
69.733,1.09273,0.90611,0.41543,0.27049
70.967,1.0914,0.9066,0.41745,0.27191
71.325,1.09106,0.90631,0.41814,0.27218
72.172,1.09036,0.90646,0.41928,0.27262
73.068,1.08973,0.90693,0.41939,0.27302
74.163,1.08902,0.90761,0.41883,0.27379
74.522,1.08879,0.90784,0.41863,0.27418
75.508,1.0881,0.9085,0.41828,0.27567
75.987,1.08773,0.90883,0.41826,0.27651
77.858,1.08626,0.91014,0.41887,0.27919
79.461,1.08572,0.91128,0.41998,0.27989
79.817,1.08576,0.91153,0.42028,0.27999
81.194,1.0863,0.91253,0.42156,0.28119
82.519,1.08672,0.91349,0.4228,0.28569
83.152,1.08298,0.91395,0.42328,0.28769
83.214,1.08272,0.91399,0.42332,0.28782
83.418,1.08204,0.91414,0.42343,0.28819
85.793,1.07878,0.91587,0.42428,0.28842
86.132,1.07872,0.91611,0.42449,0.28829
86.615,1.07882,0.91646,0.42481,0.28819
88.202,1.08005,0.91761,0.42587,0.28941
89.117,1.08065,0.91826,0.42625,0.29119
89.268,1.0807,0.91837,0.42628,0.29152
89.468,1.08072,0.91851,0.42631,0.29195
91.538,1.07948,0.91961,0.42604,0.29565
92.175,1.07901,0.91988,0.42614,0.2962
92.465,1.07885,0.92001,0.42628,0.2963
92.942,1.07872,0.9202,0.42667,0.29627
95.012,1.07998,0.92061,0.42937,0.29522
95.232,1.08018,0.92057,0.42965,0.2952
95.801,1.08058,0.92031,0.43029,0.29534
96.139,1.08072,0.92009,0.4306,0.29554
98.348,1.07934,0.91961,0.43186,0.29809
98.429,1.07923,0.91964,0.43189,0.2982
98.78,1.07872,0.91978,0.432,0.29867
99.832,1.07728,0.92034,0.43229,0.29997
101.765,1.07576,0.92167,0.43275,0.3012
101.837,1.07572,0.92172,0.43277,0.3012
103.306,1.07483,0.9228,0.43329,0.30047
104.464,1.07419,0.92362,0.43391,0.30008
104.823,1.074,0.92384,0.43412,0.3002
106.642,1.0731,0.92466,0.43529,0.30274
107.521,1.0727,0.92462,0.43582,0.30437
108.02,1.07249,0.92444,0.43611,0.3052
110.117,1.07176,0.92519,0.43729,0.30743
110.315,1.07171,0.92528,0.43741,0.30757
110.996,1.07159,0.92562,0.43781,0.308
111.356,1.07156,0.9258,0.43803,0.30821
113.373,1.07307,0.92685,0.43925,0.30936
113.453,1.07305,0.92689,0.43929,0.30941
114.831,1.07248,0.92761,0.44008,0.31021
116.708,1.07171,0.92859,0.44116,0.31134
116.928,1.07163,0.9287,0.44129,0.31147
